,ReportNormId,ReportNormName
196,756,Phân tích theo loại hình tiền tệ
197,757, + Cho vay bằng đồng Việt Nam
198,758, + Cho vay bằng ngoại tệ và vàng
199,759,Phân tích theo khu vực địa lý
200,760, + Thành phố Hồ Chí Minh
201,761, + Đồng bằng sông Cửu Long
202,762, + Miền Trung và Tây nguyên
203,763, + Miền Bắc
204,764, + Miền Đông nam bộ
205,765, + Nước ngoài
206,766,Phân tích theo loại hình doanh nghiệp
207,767,- Doanh nghiệp nhà nước
208,768,- Công ty TNHH
209,769,+ Công ty TNHH MTV vốn nhà nước 100%
210,770,+ Công ty TNHH MTV vốn nhà nước trên 50%
211,771,+ Công ty TNHH khác
212,772, - Công ty cổ phần có vốn nhà nước trên 50%
213,773, - Công ty cổ phần khác
214,774, - Doanh nghiệp tư nhân
215,775," - Công ty CP, TNHH, DN tư nhân"
216,776, - Hợp tác xã và liên hợp tác xã
217,777," - Công ty liên doanh, hợp doanh"
218,778, - Công ty hợp danh
219,779, - Công ty vốn nước ngoài
220,780," - Hộ kinh doanh, cá nhân"
221,781," - Dịch vụ hành chính sự nghiệp, Đảng, đoàn thể, hiệp hội"
222,782, - Khác
223,783,Biến động số dư dự phòng rủi ro cho vay KH
224,784,Dự phòng chung
225,785,Số dư đầu kỳ này
226,786, + Dự phòng rủi ro trích lập trong kỳ/(Hoàn nhập dự phòng trong kỳ)
227,787, + Sử dụng dự phòng rủi ro tín dụng trong kỳ
228,788, + Chênh lệch tỷ giá ngoại tệ
229,789, + Giảm dự phòng rủi ro tín dụng trong năm
230,790, + Điều chỉnh khác
231,791,Số dư cuối kỳ này
232,792,Dự phòng cụ thể
233,793,Số dư đầu kỳ này
234,794, + Dự phòng rủi ro trích lập trong kỳ/(Hoàn nhập dự phòng trong kỳ)
235,795, + Sử dụng dự phòng rủi ro tín dụng trong kỳ
236,796, + Chênh lệch tỷ giá ngoại tệ
237,797, + Giảm dự phòng rủi ro tín dụng trong năm
238,798, + Điều chỉnh khác
239,799,Số dư cuối kỳ này
240,800,Hoạt động mua nợ
241,801,Mua nợ bằng VNĐ
242,802,Mua nợ bằng ngoại tệ
243,803,Dự phòng rủi ro
244,804,Chứng khoán đầu tư
245,805,Chứng khoán đầu tư sẵn sàng để bán
246,806,Chứng khoán nợ
247,807," + Do Chính phủ phát hành (NHNN, Kho bạc)"
248,808, + Do các TCTD khác phát hành
249,809, + Do các tổ chức kinh tế trong nước phát hành
250,810, + Do các tổ chức kinh tế nước ngoài phát hành
251,811, + Khác
252,812,Chứng khoán vốn
253,813," + Do Chính phủ phát hành (NHNN, Kho bạc)"
254,814, + Do các TCTD khác phát hành
255,815, + Do các tổ chức kinh tế trong nước phát hành
256,816, + Do các tổ chức kinh tế nước ngoài phát hành
257,817, + Khác
258,818,Chứng khoán đầu tư sẵn sàng để bán khác
259,819," + Do Chính phủ phát hành (NHNN, Kho bạc)"
260,820, + Do các TCTD khác phát hành
261,821, + Do các tổ chức kinh tế trong nước phát hành
262,822, + Do các tổ chức kinh tế nước ngoài phát hành
263,823, + Khác
264,824,Tổng chứng khoán sẵn sàng để bán
265,825,Dự phòng giảm giá chứng khoán sẵn sàng để bán
266,826,Trong đó:   + Dự phòng giảm giá
267,827,                 + Dự phòng chung
268,828,                 + Dự phòng cụ thể
269,829,Chứng khoán đầu tư giữ đến ngày đáo hạn
270,830,Chứng khoán nợ
271,831," + Do Chính phủ phát hành (NHNN, Kho bạc)"
272,832, + Do các TCTD khác phát hành
273,833, + Do các tổ chức kinh tế trong nước phát hành
274,834, + Do các tổ chức kinh tế nước ngoài phát hành
275,835, + Khác
276,836,Chứng khoán vốn
277,837," + Do Chính phủ phát hành (NHNN, Kho bạc)"
278,838, + Do các TCTD khác phát hành
279,839, + Do các tổ chức kinh tế trong nước phát hành
280,840, + Do các tổ chức kinh tế nước ngoài phát hành
281,841, + Khác
282,842,Chứng khoán đầu tư giữ đến ngày đáo hạn khác
283,843," + Do Chính phủ phát hành (NHNN, Kho bạc)"
284,844, + Do các TCTD khác phát hành
285,845, + Do các tổ chức kinh tế trong nước phát hành
286,846, + Do các tổ chức kinh tế nước ngoài phát hành
287,847, + Khác
288,848,Tổng chứng khoán đầu tư giữ đến ngày đáo hạn
